author,reviewer,feedback,Time,Assignment,Round
D0843601,D1018720,,9/26/2022 15:45,HW1,1
D0843601,D1018720,,9/26/2022 17:32,HW1,1
D0843601,D1018720,,9/27/2022 18:23,HW1,1
D0843601,D1018720,是的,9/26/2022 15:45,HW1,1
D0843601,D1018720,是的,9/26/2022 17:32,HW1,1
D0843601,D1018720,是的,9/27/2022 18:23,HW1,1
D0843601,D1018720,是，很好,9/26/2022 15:45,HW1,1
D0843601,D1018720,是，很好,9/26/2022 17:32,HW1,1
D0843601,D1018720,是，很好,9/27/2022 18:23,HW1,1
D0843601,D1018720,沒有打JavaDoc喔,9/26/2022 15:45,HW1,1
D0843601,D1018720,沒有打JavaDoc喔,9/26/2022 17:32,HW1,1
D0843601,D1018720,沒有打JavaDoc喔,9/27/2022 18:23,HW1,1
D1090519,D1018572,阿你程式碼呢,9/26/2022 15:45,HW1,1
D1090519,D1018572,阿你程式碼呢,9/26/2022 17:49,HW1,1
D1090519,D1018572,阿你程式碼呢,9/28/2022 20:19,HW1,1
D1090519,D1018572,超乾淨,9/26/2022 15:45,HW1,1
D1090519,D1018572,超乾淨,9/26/2022 17:49,HW1,1
D1090519,D1018572,超乾淨,9/28/2022 20:19,HW1,1
D1090519,D1018572,不要睡覺,9/26/2022 15:45,HW1,1
D1090519,D1018572,不要睡覺,9/26/2022 17:49,HW1,1
D1090519,D1018572,不要睡覺,9/28/2022 20:19,HW1,1
D1090519,D1018572,?,9/26/2022 15:45,HW1,1
D1090519,D1018572,?,9/26/2022 17:49,HW1,1
D1090519,D1018572,?,9/28/2022 20:19,HW1,1
D1090519,D1018572,?,9/26/2022 15:45,HW1,1
D1090519,D1018572,?,9/26/2022 17:49,HW1,1
D1090519,D1018572,?,9/28/2022 20:19,HW1,1
D1090519,D1018572,?,9/26/2022 15:45,HW1,1
D1090519,D1018572,?,9/26/2022 17:49,HW1,1
D1090519,D1018572,?,9/28/2022 20:19,HW1,1
D1051253,D1051769,是，很棒！,9/26/2022 15:45,HW1,1
D1051253,D1051769,是，很棒！,9/26/2022 17:25,HW1,1
D1051253,D1051769,是，很棒！,9/26/2022 17:31,HW1,1
D1051253,D1051769,是,9/26/2022 15:45,HW1,1
D1051253,D1051769,是,9/26/2022 17:25,HW1,1
D1051253,D1051769,是,9/26/2022 17:31,HW1,1
D1051253,D1051769,是,9/26/2022 15:45,HW1,1
D1051253,D1051769,是,9/26/2022 17:25,HW1,1
D1051253,D1051769,是,9/26/2022 17:31,HW1,1
D1051253,D1051769,是,9/26/2022 15:45,HW1,1
D1051253,D1051769,是,9/26/2022 17:25,HW1,1
D1051253,D1051769,是,9/26/2022 17:31,HW1,1
D1051253,D1051769,,9/26/2022 15:45,HW1,1
D1051253,D1051769,,9/26/2022 17:25,HW1,1
D1051253,D1051769,,9/26/2022 17:31,HW1,1
D1051253,D1051769,,9/26/2022 15:45,HW1,1
D1051253,D1051769,,9/26/2022 17:25,HW1,1
D1051253,D1051769,,9/26/2022 17:31,HW1,1
D1050927,D1051489,你好棒,9/26/2022 15:45,HW1,1
D1050927,D1051489,你好棒,9/26/2022 17:28,HW1,1
D1050927,D1051489,你好棒,9/28/2022 10:16,HW1,1
D1050927,D1051489,水喔,9/26/2022 15:45,HW1,1
D1050927,D1051489,水喔,9/26/2022 17:28,HW1,1
D1050927,D1051489,水喔,9/28/2022 10:16,HW1,1
D1050927,D1051489,讚啦,9/26/2022 15:45,HW1,1
D1050927,D1051489,讚啦,9/26/2022 17:28,HW1,1
D1050927,D1051489,讚啦,9/28/2022 10:16,HW1,1
D1050927,D1051489,是,9/26/2022 15:45,HW1,1
D1050927,D1051489,是,9/26/2022 17:28,HW1,1
D1050927,D1051489,是,9/28/2022 10:16,HW1,1
D1050927,D1051489,是,9/26/2022 15:45,HW1,1
D1050927,D1051489,是,9/26/2022 17:28,HW1,1
D1050927,D1051489,是,9/28/2022 10:16,HW1,1
D1050927,D1051489,是,9/26/2022 15:45,HW1,1
D1050927,D1051489,是,9/26/2022 17:28,HW1,1
D1050927,D1051489,是,9/28/2022 10:16,HW1,1
D1051015,D1051492,沒有印出東西,9/26/2022 15:45,HW1,1
D1051015,D1051492,沒有印出東西,9/26/2022 18:04,HW1,1
D1051015,D1051492,,9/26/2022 15:45,HW1,1
D1051015,D1051492,,9/26/2022 18:04,HW1,1
D1051015,D1051492,,9/26/2022 15:45,HW1,1
D1051015,D1051492,,9/26/2022 18:04,HW1,1
D1051015,D1051492,,9/26/2022 15:45,HW1,1
D1051015,D1051492,,9/26/2022 18:04,HW1,1
D1051015,D1051492,,9/26/2022 15:45,HW1,1
D1051015,D1051492,,9/26/2022 18:04,HW1,1
D1051015,D1051492,沒有打Java Doc,9/26/2022 15:45,HW1,1
D1051015,D1051492,沒有打Java Doc,9/26/2022 18:04,HW1,1
D1051827,D0746235,是，很棒,9/26/2022 15:45,HW1,1
D1051827,D0746235,是，很棒,9/26/2022 17:37,HW1,1
D1051827,D0746235,是，很棒,9/28/2022 23:56,HW1,1
D1051827,D0746235,是，很棒,9/29/2022 17:39,HW1,1
D1051827,D0746235,是 ，整齊，但tab不符合規範,9/26/2022 15:45,HW1,1
D1051827,D0746235,是 ，整齊，但tab不符合規範,9/26/2022 17:37,HW1,1
D1051827,D0746235,是 ，整齊，但tab不符合規範,9/28/2022 23:56,HW1,1
D1051827,D0746235,是 ，整齊，但tab不符合規範,9/29/2022 17:39,HW1,1
D1051827,D0746235,是,9/26/2022 15:45,HW1,1
D1051827,D0746235,是,9/26/2022 17:37,HW1,1
D1051827,D0746235,是,9/28/2022 23:56,HW1,1
D1051827,D0746235,是,9/29/2022 17:39,HW1,1
D1051827,D0746235,是,9/26/2022 15:45,HW1,1
D1051827,D0746235,是,9/26/2022 17:37,HW1,1
D1051827,D0746235,是,9/28/2022 23:56,HW1,1
D1051827,D0746235,是,9/29/2022 17:39,HW1,1
D1051827,D0746235,是,9/26/2022 15:45,HW1,1
D1051827,D0746235,是,9/26/2022 17:37,HW1,1
D1051827,D0746235,是,9/28/2022 23:56,HW1,1
D1051827,D0746235,是,9/29/2022 17:39,HW1,1
D1051827,D0746235,沒有輸入Java Doc,9/26/2022 15:45,HW1,1
D1051827,D0746235,沒有輸入Java Doc,9/26/2022 17:37,HW1,1
D1051827,D0746235,沒有輸入Java Doc,9/28/2022 23:56,HW1,1
D1051827,D0746235,沒有輸入Java Doc,9/29/2022 17:39,HW1,1
D1051028,D1051550,很好,9/26/2022 15:45,HW1,1
D1051028,D1051550,很好,9/26/2022 17:30,HW1,1
D1051028,D1051550,很好,9/28/2022 15:30,HW1,1
D1051028,D1051550,很好,9/28/2022 15:37,HW1,1
D1051028,D1051550,整齊,9/26/2022 15:45,HW1,1
D1051028,D1051550,整齊,9/26/2022 17:30,HW1,1
D1051028,D1051550,整齊,9/28/2022 15:30,HW1,1
D1051028,D1051550,整齊,9/28/2022 15:37,HW1,1
D1051028,D1051550,是,9/26/2022 15:45,HW1,1
D1051028,D1051550,是,9/26/2022 17:30,HW1,1
D1051028,D1051550,是,9/28/2022 15:30,HW1,1
D1051028,D1051550,是,9/28/2022 15:37,HW1,1
D1051028,D1051550,有,9/26/2022 15:45,HW1,1
D1051028,D1051550,有,9/26/2022 17:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:37,HW1,1
D1051028,D1051550,有,9/26/2022 15:45,HW1,1
D1051028,D1051550,有,9/26/2022 17:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:37,HW1,1
D1051028,D1051550,有,9/26/2022 15:45,HW1,1
D1051028,D1051550,有,9/26/2022 17:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:30,HW1,1
D1051028,D1051550,有,9/28/2022 15:37,HW1,1
D1018572,D1051028,讚,9/26/2022 15:45,HW1,1
D1018572,D1051028,讚,9/26/2022 17:31,HW1,1
D1018572,D1051028,讚,9/26/2022 17:36,HW1,1
D1018572,D1051028,讚,9/26/2022 18:05,HW1,1
D1018572,D1051028,很整齊,9/26/2022 15:45,HW1,1
D1018572,D1051028,很整齊,9/26/2022 17:31,HW1,1
D1018572,D1051028,很整齊,9/26/2022 17:36,HW1,1
D1018572,D1051028,很整齊,9/26/2022 18:05,HW1,1
D1018572,D1051028,是,9/26/2022 15:45,HW1,1
D1018572,D1051028,是,9/26/2022 17:31,HW1,1
D1018572,D1051028,是,9/26/2022 17:36,HW1,1
D1018572,D1051028,是,9/26/2022 18:05,HW1,1
D1018572,D1051028,是,9/26/2022 15:45,HW1,1
D1018572,D1051028,是,9/26/2022 17:31,HW1,1
D1018572,D1051028,是,9/26/2022 17:36,HW1,1
D1018572,D1051028,是,9/26/2022 18:05,HW1,1
D1018572,D1051028,是,9/26/2022 15:45,HW1,1
D1018572,D1051028,是,9/26/2022 17:31,HW1,1
D1018572,D1051028,是,9/26/2022 17:36,HW1,1
D1018572,D1051028,是,9/26/2022 18:05,HW1,1
D1018572,D1051028,否，沒有輸入javadoc,9/26/2022 15:45,HW1,1
D1018572,D1051028,否，沒有輸入javadoc,9/26/2022 17:31,HW1,1
D1018572,D1051028,否，沒有輸入javadoc,9/26/2022 17:36,HW1,1
D1018572,D1051028,否，沒有輸入javadoc,9/26/2022 18:05,HW1,1
D1011175,D1050855,空白喔0w0,9/26/2022 15:45,HW1,1
D1011175,D1050855,空白喔0w0,9/26/2022 17:45,HW1,1
D1011175,D1050855,0,9/26/2022 15:45,HW1,1
D1011175,D1050855,0,9/26/2022 17:45,HW1,1
D1011175,D1050855,0,9/26/2022 15:45,HW1,1
D1011175,D1050855,0,9/26/2022 17:45,HW1,1
D1011175,D1050855,0,9/26/2022 15:45,HW1,1
D1011175,D1050855,0,9/26/2022 17:45,HW1,1
D1011175,D1050855,0,9/26/2022 15:45,HW1,1
D1011175,D1050855,0,9/26/2022 17:45,HW1,1
D1011175,D1050855,0,9/26/2022 15:45,HW1,1
D1011175,D1050855,0,9/26/2022 17:45,HW1,1
D1018467,D1050957,是，超棒的~,9/26/2022 15:45,HW1,1
D1018467,D1050957,是，超棒的~,9/26/2022 17:28,HW1,1
D1018467,D1050957,是，超棒的~,9/28/2022 20:51,HW1,1
D1018467,D1050957,,9/26/2022 15:45,HW1,1
D1018467,D1050957,,9/26/2022 17:28,HW1,1
D1018467,D1050957,,9/28/2022 20:51,HW1,1
D1018467,D1050957,,9/26/2022 15:45,HW1,1
D1018467,D1050957,,9/26/2022 17:28,HW1,1
D1018467,D1050957,,9/28/2022 20:51,HW1,1
D1018467,D1050957,,9/26/2022 15:45,HW1,1
D1018467,D1050957,,9/26/2022 17:28,HW1,1
D1018467,D1050957,,9/28/2022 20:51,HW1,1
D1018467,D1050957,,9/26/2022 15:45,HW1,1
D1018467,D1050957,,9/26/2022 17:28,HW1,1
D1018467,D1050957,,9/28/2022 20:51,HW1,1
D1018467,D1050957,沒有打JavaDoc,9/26/2022 15:45,HW1,1
D1018467,D1050957,沒有打JavaDoc,9/26/2022 17:28,HW1,1
D1018467,D1050957,沒有打JavaDoc,9/28/2022 20:51,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D1090420,D1012323,muy bien,9/26/2022 15:45,HW1,1
D1090420,D1012323,muy bien,9/26/2022 17:32,HW1,1
D0746235,D1018627,"Hello bro
hola bro muy bien la",9/26/2022 15:45,HW1,1
D0746235,D1018627,"Hello bro
hola bro muy bien la",9/26/2022 15:48,HW1,1
D0746235,D1018627,"Hello bro
hola bro muy bien la",9/28/2022 9:02,HW1,1
D0746235,D1018627,"Hello bro
hola bro muy bien la",5/30/2023 8:36,HW1,1
D0746235,D1018627,"Hello bro
hola bro muy bien la",5/30/2023 17:25,HW1,1
D0746235,D1018627,我覺得可以,9/26/2022 15:45,HW1,1
D0746235,D1018627,我覺得可以,9/26/2022 15:48,HW1,1
D0746235,D1018627,我覺得可以,9/28/2022 9:02,HW1,1
D0746235,D1018627,我覺得可以,5/30/2023 8:36,HW1,1
D0746235,D1018627,我覺得可以,5/30/2023 17:25,HW1,1
D0746235,D1018627,可,9/26/2022 15:45,HW1,1
D0746235,D1018627,可,9/26/2022 15:48,HW1,1
D0746235,D1018627,可,9/28/2022 9:02,HW1,1
D0746235,D1018627,可,5/30/2023 8:36,HW1,1
D0746235,D1018627,可,5/30/2023 17:25,HW1,1
D0746235,D1018627,可,9/26/2022 15:45,HW1,1
D0746235,D1018627,可,9/26/2022 15:48,HW1,1
D0746235,D1018627,可,9/28/2022 9:02,HW1,1
D0746235,D1018627,可,5/30/2023 8:36,HW1,1
D0746235,D1018627,可,5/30/2023 17:25,HW1,1
D0746235,D1018627,可,9/26/2022 15:45,HW1,1
D0746235,D1018627,可,9/26/2022 15:48,HW1,1
D0746235,D1018627,可,9/28/2022 9:02,HW1,1
D0746235,D1018627,可,5/30/2023 8:36,HW1,1
D0746235,D1018627,可,5/30/2023 17:25,HW1,1
D0746235,D1018627,可,9/26/2022 15:45,HW1,1
D0746235,D1018627,可,9/26/2022 15:48,HW1,1
D0746235,D1018627,可,9/28/2022 9:02,HW1,1
D0746235,D1018627,可,5/30/2023 8:36,HW1,1
D0746235,D1018627,可,5/30/2023 17:25,HW1,1
D1011264,D1050855,nice,9/26/2022 15:45,HW1,1
D1011264,D1050855,nice,9/26/2022 17:26,HW1,1
D1011264,D1050855,nice,9/26/2022 19:39,HW1,1
D1011264,D1050855,,9/26/2022 15:45,HW1,1
D1011264,D1050855,,9/26/2022 17:26,HW1,1
D1011264,D1050855,,9/26/2022 19:39,HW1,1
D1011264,D1050855,,9/26/2022 15:45,HW1,1
D1011264,D1050855,,9/26/2022 17:26,HW1,1
D1011264,D1050855,,9/26/2022 19:39,HW1,1
D1011264,D1050855,,9/26/2022 15:45,HW1,1
D1011264,D1050855,,9/26/2022 17:26,HW1,1
D1011264,D1050855,,9/26/2022 19:39,HW1,1
D1011264,D1050855,,9/26/2022 15:45,HW1,1
D1011264,D1050855,,9/26/2022 17:26,HW1,1
D1011264,D1050855,,9/26/2022 19:39,HW1,1
D1011264,D1050855,,9/26/2022 15:45,HW1,1
D1011264,D1050855,,9/26/2022 17:26,HW1,1
D1011264,D1050855,,9/26/2022 19:39,HW1,1
D1051666,D1090434,,9/26/2022 15:45,HW1,1
D1051666,D1090434,,9/26/2022 17:32,HW1,1
D1051666,D1090434,,9/26/2022 17:41,HW1,1
D1051666,D1090434,,9/28/2022 14:18,HW1,1
D1051666,D1090434,,9/28/2022 21:32,HW1,1
D1051666,D1090434,是，很整齊,9/26/2022 15:45,HW1,1
D1051666,D1090434,是，很整齊,9/26/2022 17:32,HW1,1
D1051666,D1090434,是，很整齊,9/26/2022 17:41,HW1,1
D1051666,D1090434,是，很整齊,9/28/2022 14:18,HW1,1
D1051666,D1090434,是，很整齊,9/28/2022 21:32,HW1,1
D1051666,D1090434,是,9/26/2022 15:45,HW1,1
D1051666,D1090434,是,9/26/2022 17:32,HW1,1
D1051666,D1090434,是,9/26/2022 17:41,HW1,1
D1051666,D1090434,是,9/28/2022 14:18,HW1,1
D1051666,D1090434,是,9/28/2022 21:32,HW1,1
D1051666,D1090434,,9/26/2022 15:45,HW1,1
D1051666,D1090434,,9/26/2022 17:32,HW1,1
D1051666,D1090434,,9/26/2022 17:41,HW1,1
D1051666,D1090434,,9/28/2022 14:18,HW1,1
D1051666,D1090434,,9/28/2022 21:32,HW1,1
D1051666,D1090434,,9/26/2022 15:45,HW1,1
D1051666,D1090434,,9/26/2022 17:32,HW1,1
D1051666,D1090434,,9/26/2022 17:41,HW1,1
D1051666,D1090434,,9/28/2022 14:18,HW1,1
D1051666,D1090434,,9/28/2022 21:32,HW1,1
D1051666,D1090434,沒有打JavaDoc,9/26/2022 15:45,HW1,1
D1051666,D1090434,沒有打JavaDoc,9/26/2022 17:32,HW1,1
D1051666,D1090434,沒有打JavaDoc,9/26/2022 17:41,HW1,1
D1051666,D1090434,沒有打JavaDoc,9/28/2022 14:18,HW1,1
D1051666,D1090434,沒有打JavaDoc,9/28/2022 21:32,HW1,1
D1072770,D1009269,"Hello World!"" not ""hello world"" """,9/26/2022 15:45,HW1,1
D1072770,D1009269,"Hello World!"" not ""hello world"" """,9/26/2022 17:29,HW1,1
D1072770,D1009269,,9/26/2022 15:45,HW1,1
D1072770,D1009269,,9/26/2022 17:29,HW1,1
D1072770,D1009269,,9/26/2022 15:45,HW1,1
D1072770,D1009269,,9/26/2022 17:29,HW1,1
D1072770,D1009269,,9/26/2022 15:45,HW1,1
D1072770,D1009269,,9/26/2022 17:29,HW1,1
D1072770,D1009269,,9/26/2022 15:45,HW1,1
D1072770,D1009269,,9/26/2022 17:29,HW1,1
D1072770,D1009269,,9/26/2022 15:45,HW1,1
D1072770,D1009269,,9/26/2022 17:29,HW1,1
D1030978,D1051267,否,9/26/2022 15:45,HW1,1
D1030978,D1051267,否,9/26/2022 18:04,HW1,1
D1030978,D1051267,否,9/28/2022 15:46,HW1,1
D1030978,D1051267,有整齊 方便閱讀,9/26/2022 15:45,HW1,1
D1030978,D1051267,有整齊 方便閱讀,9/26/2022 18:04,HW1,1
D1030978,D1051267,有整齊 方便閱讀,9/28/2022 15:46,HW1,1
D1030978,D1051267,,9/26/2022 15:45,HW1,1
D1030978,D1051267,,9/26/2022 18:04,HW1,1
D1030978,D1051267,,9/28/2022 15:46,HW1,1
D1030978,D1051267,,9/26/2022 15:45,HW1,1
D1030978,D1051267,,9/26/2022 18:04,HW1,1
D1030978,D1051267,,9/28/2022 15:46,HW1,1
D1030978,D1051267,,9/26/2022 15:45,HW1,1
D1030978,D1051267,,9/26/2022 18:04,HW1,1
D1030978,D1051267,,9/28/2022 15:46,HW1,1
D1030978,D1051267,沒有打JavaDoc,9/26/2022 15:45,HW1,1
D1030978,D1051267,沒有打JavaDoc,9/26/2022 18:04,HW1,1
D1030978,D1051267,沒有打JavaDoc,9/28/2022 15:46,HW1,1
D1030965,D1051253,沒有hello world,9/26/2022 15:45,HW1,1
D1030965,D1051253,沒有hello world,9/26/2022 17:34,HW1,1
D1030965,D1051253,沒有hello world,9/28/2022 21:39,HW1,1
D1030965,D1051253,沒有hello world,9/28/2022 21:42,HW1,1
D1030965,D1051253,,9/26/2022 15:45,HW1,1
D1030965,D1051253,,9/26/2022 17:34,HW1,1
D1030965,D1051253,,9/28/2022 21:39,HW1,1
D1030965,D1051253,,9/28/2022 21:42,HW1,1
D1030965,D1051253,,9/26/2022 15:45,HW1,1
D1030965,D1051253,,9/26/2022 17:34,HW1,1
D1030965,D1051253,,9/28/2022 21:39,HW1,1
D1030965,D1051253,,9/28/2022 21:42,HW1,1
D1030965,D1051253,,9/26/2022 15:45,HW1,1
D1030965,D1051253,,9/26/2022 17:34,HW1,1
D1030965,D1051253,,9/28/2022 21:39,HW1,1
D1030965,D1051253,,9/28/2022 21:42,HW1,1
D1030965,D1051253,,9/26/2022 15:45,HW1,1
D1030965,D1051253,,9/26/2022 17:34,HW1,1
D1030965,D1051253,,9/28/2022 21:39,HW1,1
D1030965,D1051253,,9/28/2022 21:42,HW1,1
D1030965,D1051253,沒有Java Doc,9/26/2022 15:45,HW1,1
D1030965,D1051253,沒有Java Doc,9/26/2022 17:34,HW1,1
D1030965,D1051253,沒有Java Doc,9/28/2022 21:39,HW1,1
D1030965,D1051253,沒有Java Doc,9/28/2022 21:42,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1076758,D1010467,,9/26/2022 15:45,HW1,1
D1076758,D1010467,,9/26/2022 23:09,HW1,1
D1076758,D1010467,,9/26/2022 23:37,HW1,1
D1076758,D1010467,,10/3/2022 16:21,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1051015,D1051550,無,9/26/2022 15:45,HW1,1
D1051015,D1051550,無,9/26/2022 18:04,HW1,1
D1009269,D1018720,是,9/26/2022 15:45,HW1,1
D1009269,D1018720,是,9/26/2022 17:17,HW1,1
D1009269,D1018720,是,9/28/2022 19:13,HW1,1
D1009269,D1018720,很整齊,9/26/2022 15:45,HW1,1
D1009269,D1018720,很整齊,9/26/2022 17:17,HW1,1
D1009269,D1018720,很整齊,9/28/2022 19:13,HW1,1
D1009269,D1018720,是,9/26/2022 15:45,HW1,1
D1009269,D1018720,是,9/26/2022 17:17,HW1,1
D1009269,D1018720,是,9/28/2022 19:13,HW1,1
D1009269,D1018720,是的,9/26/2022 15:45,HW1,1
D1009269,D1018720,是的,9/26/2022 17:17,HW1,1
D1009269,D1018720,是的,9/28/2022 19:13,HW1,1
D1009269,D1018720,符合,9/26/2022 15:45,HW1,1
D1009269,D1018720,符合,9/26/2022 17:17,HW1,1
D1009269,D1018720,符合,9/28/2022 19:13,HW1,1
D1009269,D1018720,沒有打JavaDoc,9/26/2022 15:45,HW1,1
D1009269,D1018720,沒有打JavaDoc,9/26/2022 17:17,HW1,1
D1009269,D1018720,沒有打JavaDoc,9/28/2022 19:13,HW1,1
D1012323,D1050927,yes,9/26/2022 15:45,HW1,1
D1012323,D1050927,yes,9/26/2022 17:23,HW1,1
D1012323,D1050927,yes,9/26/2022 15:45,HW1,1
D1012323,D1050927,yes,9/26/2022 17:23,HW1,1
D1012323,D1050927,yes,9/26/2022 15:45,HW1,1
D1012323,D1050927,yes,9/26/2022 17:23,HW1,1
D1012323,D1050927,yes,9/26/2022 15:45,HW1,1
D1012323,D1050927,yes,9/26/2022 17:23,HW1,1
D1012323,D1050927,yes,9/26/2022 15:45,HW1,1
D1012323,D1050927,yes,9/26/2022 17:23,HW1,1
D1012323,D1050927,"no java.doc
",9/26/2022 15:45,HW1,1
D1012323,D1050927,"no java.doc
",9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
D1012323,D1050855,,9/26/2022 15:45,HW1,1
D1012323,D1050855,,9/26/2022 17:23,HW1,1
